Title,Skills
.NET Azure Developer,Azure Blob Storage|Azure Cognitive Services|Azure Cosmos DB|Azure Logic Apps|Azure Service Bus|Azure Web Apps|Microsoft Certified: Azure Cosmos DB Developer Specialty|Microsoft Certified: Azure Developer Associate
.NET Developer,.NET Development|.NET Framework|.NET Framework 3|.NET MAUI (Multi-Platform App UI)|.NET Remoting|Angular (Web Framework)|Angular Reactive Forms|Azure Service Bus|DB2 SQL|Dynamic HTML|JavaScript (Programming Language)|JavaScript Frameworks|JavaScript Libraries|LINQ To SQL|Microsoft SQL Servers|Microsoft Windows SDK|Mini SQL (MSQL)|Object-Oriented JavaScript
.NET Full Stack Developer,.NET Assemblies|.NET Development|.NET Framework|Linux Console
.NET Software Developer,Mini SQL (MSQL)
.NET/SQL Server Developer,Azure Automation
AEM Developer,CSE HTML Validator|Content Repository API For Java|Java Portlet Specification
API Developer,Generics In Java
AS/400 Developer,Embedded SQL
ASP Developer,AWS Certified Developer
ASP.NET Developer,.NET Framework 3
ASP.NET Web Developer,HTML Controls
AWS Cloud Developer,AWS CloudTrail|Java Persistence Query Language
AWS Developer,AWS AppSync
AX Developer,.NET Assemblies
Ab Initio Developer,Mini SQL (MSQL)
Adobe Experience Manager Developer,Content Repository API For Java|HTML Components
Android Developer,ARCore|Android (Operating System)|Android Applications|Android Debug Bridge|Android Development|Android Emulators|Android Jetpack|Android Multimedia|Android SDK|Android Software Development|Android Studio|Android Testing|Android UI|Java Compilers|Java Development Kit|Kotlin
Android Mobile Developer,Android Applications|Android Jetpack|Android SDK
Angular Developer,Angular CLI|Angular Components|Angular Material|Angular Reactive Forms|Angular Ui|CSS Frameworks|Java Scripting Languages
Angular UI Developer,Angular Ui
Application Developer,Dynamic HTML|Java Network Launch Protocol (JNLP)
Application Developer Team Lead,Azure API Management
Application Developer Technical Lead,Amazon Elasticsearch Service
Azure Developer,Azure API Management|Azure Cosmos DB|Azure Data Factory|Azure Databricks|Azure Load Balancer|Azure Logic Apps|Azure Service Fabric|Microsoft Certified: Azure AI Engineer Associate|Microsoft Certified: Azure AI Fundamentals|Microsoft Certified: Azure Cosmos DB Developer Specialty|Microsoft Certified: Azure Data Scientist Associate
BPM Developer,Java Business Process Management
Back End Developer,AWS AppSync|Azure Service Fabric|Java 9
Big Data Developer,Hadoop Distributed File System (HDFS)|Hyper SQL Database (HSQLDB)
Big Data ETL Developer,Hierarchical And Recursive Queries In SQL
Blockchain Developer,Ethereum|Hyperledger
Business Information Developer Consultant,Java Scripting Languages
C Developer,.NET Framework 3
Cloud Automation Developer Principal Consultant,Java Object Oriented Querying|Jenkins 2
Coldfusion Developer,Java API For XML Processing
Core Java Developer,Java 9
Curam Developer,Eclipse (Software)|Java Enterprise Edition
Data Developer,Docker Machine
Database Developer,Azure Data Factory|Hierarchical And Recursive Queries In SQL|Microsoft Certified: Azure Data Fundamentals|Microsoft Certified: Azure Database Administrator Associate|Microsoft Certified: Azure Fundamentals|Microsoft SQL Servers
Developer,Eclipse Modeling Framework|HTML Application|IDS InfoLease (Asset Finance Technology)|Java Foundation Classes|Java Module|Linux On System Z
Documentum Developer,Java Logging Framework
Dynamics 365 Developer,Azure Logic Apps|Azure Service Bus|Microsoft Certified: Azure AI Fundamentals
Dynamics CRM Developer,Azure API Management
E-Commerce Developer,AWS AppSync
ETL Developer,AWS Glue|Hierarchical And Recursive Queries In SQL|Informatica Cloud|Informatica Powercenter
ETL Informatica Developer,Informatica Powercenter
Embedded C++ Developer,Embedded C++
Embedded Developer,Fedora Linux|Java Bytecode|MISRA C (C Programming Language)
Flutter Developer,Flutter (Software)
Front End Angular Developer,Angular CLI
Front End Developer,Bulma CSS|CSS Frameworks|Easy Java Simulations|Eclipse (Software)|HTML Document Object Models|Object-Oriented JavaScript|Oracle ATG Web Commerce
Front End React Developer,HTML Document Object Models
Front End Web Developer,CSE HTML Validator|HTML Components
Full Stack Application Developer,JavaScript Build
